"Question_ID","Subject","Topic","Question_Type","Question","Option_A","Option_B","Option_C","Option_D","Option_E","Option_F","Option_G","Option_H","Correct_Answer","Explanation","Difficulty","LNA","Date_Added"
"IHD_001","Cardiovascular","Ischaemic Heart Disease","SBA","A 58-year-old man presents to his GP with a 3-month history of central chest tightness that occurs when walking uphill and resolves within 5 minutes of rest. He has a history of type 2 diabetes and hypertension. His resting ECG is normal. What is the most appropriate initial investigation?","CT coronary angiography","Exercise treadmill test","Invasive coronary angiography","Myocardial perfusion scintigraphy","Transthoracic echocardiogram","","","","A","NICE CG95 (updated) recommends CT coronary angiography (CTCA) as the first-line investigation for patients with new-onset stable chest pain suspected to be angina. Exercise treadmill testing is no longer recommended as a first-line diagnostic test for stable angina due to its poor sensitivity and specificity. Invasive coronary angiography is reserved for patients with confirmed significant disease on non-invasive testing or those with acute coronary syndromes. Myocardial perfusion scintigraphy may be used as a functional test if CTCA is non-diagnostic or to assess the functional significance of known disease, but it is not first-line. A transthoracic echocardiogram assesses cardiac structure and function but does not diagnose coronary artery disease.","Easy","No","2026-03-15"
"IHD_002","Cardiovascular","Ischaemic Heart Disease","SBA","A 62-year-old woman with stable angina is already taking aspirin 75 mg daily and atorvastatin 80 mg daily. She continues to experience angina approximately twice per week when walking to the shops. What is the most appropriate first-line anti-anginal treatment?","Amlodipine","Diltiazem","GTN sublingual spray as needed plus a beta-blocker or calcium channel blocker","Isosorbide mononitrate","Nicorandil","","","","C","NICE CG126 recommends offering a short-acting nitrate (GTN spray or tablet) for immediate symptom relief alongside either a beta-blocker or a calcium channel blocker as first-line regular anti-anginal therapy. Amlodipine or diltiazem alone could be appropriate choices for the regular agent, but the question asks for the most appropriate first-line approach, which includes both the PRN GTN and a regular agent. Isosorbide mononitrate is a second-line agent used when first-line therapy is insufficient or not tolerated. Nicorandil is a potassium channel activator used as a second- or third-line anti-anginal agent, not first-line.","Easy","No","2026-03-15"
"IHD_003","Cardiovascular","Ischaemic Heart Disease","SBA","A 72-year-old man presents to the emergency department with 40 minutes of central crushing chest pain radiating to his left arm. His ECG shows 3 mm ST elevation in leads V1-V4. The nearest primary PCI centre is 150 minutes transfer time away. What is the most appropriate immediate management?","Administer thrombolysis and transfer for rescue PCI if needed","Arrange urgent transfer for primary PCI","Give dual antiplatelet therapy and manage conservatively","Perform an urgent CT coronary angiogram","Administer intravenous unfractionated heparin and wait for symptoms to settle","","","","A","In ST-elevation myocardial infarction (STEMI), primary PCI is the gold standard reperfusion strategy if it can be delivered within 120 minutes of the time when fibrinolysis could be given. If primary PCI cannot be delivered within this timeframe (as in this case with a 150-minute transfer), thrombolysis should be administered immediately and the patient transferred for angiography, with rescue PCI performed if thrombolysis fails. Conservative management alone is inappropriate for a STEMI. CT coronary angiography has no role in the acute management of STEMI. Intravenous heparin alone without reperfusion therapy does not address the occluded vessel and would result in unacceptable delay and ongoing myocardial damage.","Medium","No","2026-03-15"
"IHD_004","Cardiovascular","Ischaemic Heart Disease","SBA","A 55-year-old man is admitted with an acute inferior STEMI and undergoes successful primary PCI with a drug-eluting stent to his right coronary artery. He has no history of atrial fibrillation. What is the recommended duration of dual antiplatelet therapy (DAPT) following his procedure?","1 month","3 months","6 months","12 months","Lifelong dual antiplatelet therapy","","","","D","Following PCI with drug-eluting stent implantation for acute coronary syndrome, guidelines recommend 12 months of dual antiplatelet therapy (typically aspirin plus ticagrelor or prasugrel). This reduces the risk of stent thrombosis and recurrent ischaemic events. Shorter durations (1, 3, or 6 months) may be considered in patients at high bleeding risk, but the standard recommendation for ACS patients is 12 months. After 12 months, one antiplatelet agent (usually aspirin) is continued long-term. Lifelong DAPT is not recommended due to the cumulative bleeding risk without sufficient additional ischaemic benefit.","Easy","No","2026-03-15"
"IHD_005","Cardiovascular","Ischaemic Heart Disease","SBA","A 48-year-old woman presents to the emergency department with a 2-hour history of severe central chest pain at rest. Her ECG shows 2 mm ST depression and T-wave inversion in leads V4-V6. Troponin I at presentation is 450 ng/L (normal <14 ng/L). What is the most likely diagnosis?","Acute pericarditis","Non-ST elevation myocardial infarction (NSTEMI)","Stable angina","Unstable angina","Takotsubo cardiomyopathy","","","","B","This patient has chest pain at rest with ECG changes (ST depression and T-wave inversion) and a significantly elevated troponin, which confirms myocardial injury. This is consistent with a NSTEMI. Unstable angina presents with similar symptoms and ECG changes but troponin levels remain normal, as there is no myocardial necrosis. Stable angina occurs with exertion and resolves with rest, without troponin elevation. Acute pericarditis typically causes widespread saddle-shaped ST elevation and PR depression, not the localised ST depression seen here. Takotsubo cardiomyopathy can cause troponin elevation and ECG changes, but typically presents with apical ballooning on echocardiogram following emotional or physical stress, and coronary arteries are unobstructed; it is far less common than NSTEMI in this clinical context.","Easy","No","2026-03-15"
"IHD_006","Cardiovascular","Ischaemic Heart Disease","SBA","A 67-year-old man with a history of hypertension and hypercholesterolaemia is diagnosed with stable angina. His resting heart rate is 52 bpm and blood pressure is 118/72 mmHg. He is already on amlodipine 10 mg for hypertension. Which regular anti-anginal medication is most appropriate to add?","Atenolol","Diltiazem","Isosorbide mononitrate","Verapamil","Ivabradine","","","","C","This patient has a resting bradycardia (52 bpm) and is already taking a dihydropyridine calcium channel blocker (amlodipine). A beta-blocker (atenolol) would be contraindicated given his significant bradycardia, as it would reduce heart rate further. Rate-limiting calcium channel blockers (diltiazem, verapamil) are also contraindicated with bradycardia and should not be combined with amlodipine due to the risk of severe bradycardia and heart block. Ivabradine acts by reducing heart rate via the sinus node and would be contraindicated with a resting heart rate below 70 bpm. Isosorbide mononitrate, a long-acting nitrate, is an appropriate second-line anti-anginal agent that does not affect heart rate and can be safely used alongside amlodipine.","Medium","No","2026-03-15"
"IHD_007","Cardiovascular","Ischaemic Heart Disease","SBA","A 60-year-old man is admitted with a NSTEMI. His GRACE score is 145 (high risk). He is treated with aspirin, ticagrelor, fondaparinux, and atorvastatin. According to NICE guidelines, within what timeframe should he undergo coronary angiography?","Immediately (within 2 hours)","Within 24 hours","Within 72 hours","Within 2 weeks as an outpatient","Only if symptoms recur despite medical therapy","","","","C","NICE guidelines on acute coronary syndromes recommend that patients with NSTEMI and a high GRACE score (>109) should undergo coronary angiography (with follow-on PCI if indicated) within 72 hours of admission. Immediate angiography (within 2 hours) is reserved for patients who are haemodynamically unstable or have life-threatening arrhythmias. Angiography within 24 hours may be considered for very high-risk features (e.g., GRACE score >140 with other high-risk features such as dynamic ST changes). Outpatient angiography within 2 weeks would be too delayed for a high-risk patient. Waiting for symptom recurrence is not an appropriate strategy in a patient with confirmed high-risk NSTEMI, as it risks further myocardial damage.","Medium","Yes","2026-03-15"
"IHD_008","Cardiovascular","Ischaemic Heart Disease","SBA","A 70-year-old woman is found to have three-vessel coronary artery disease and a SYNTAX score of 35 on angiography following a NSTEMI. She also has type 2 diabetes mellitus. What is the most appropriate revascularisation strategy?","Coronary artery bypass grafting (CABG)","Medical management alone","PCI to the culprit lesion only","PCI with drug-eluting stents to all three vessels","Hybrid approach with PCI to one vessel and CABG to the remaining two","","","","A","In patients with three-vessel coronary artery disease and a high SYNTAX score (>=33), CABG is the recommended revascularisation strategy as outcomes are superior to PCI in this group. This is particularly the case in patients with diabetes, where CABG has been shown to confer a mortality benefit over PCI in multivessel disease (FREEDOM trial). Medical management alone would be insufficient given the extent of disease and recent ACS presentation. PCI to the culprit lesion only does not address the overall disease burden, and multivessel PCI has inferior outcomes to CABG at this level of complexity. A hybrid approach is not standard practice and lacks evidence compared with complete surgical revascularisation in this setting.","Hard","No","2026-03-15"
"IHD_009","Cardiovascular","Ischaemic Heart Disease","SBA","A 54-year-old man presents to the emergency department with acute central chest pain. His initial ECG shows no ST changes. Serial troponins at 0 and 3 hours are both within the normal range. He has two cardiovascular risk factors (smoking and family history). His chest pain has now resolved. What is the most appropriate next step?","Discharge with GP follow-up in 2 weeks","Discharge with urgent outpatient CT coronary angiography","Perform an inpatient exercise treadmill test","Start treatment for acute coronary syndrome and arrange coronary angiography","Admit for 24-hour observation and repeat troponin at 6 hours","","","","B","This patient presented with chest pain suspicious for cardiac ischaemia but has normal serial troponins and no ECG changes, effectively ruling out an acute MI. However, given his cardiovascular risk factors and the nature of the presentation, further investigation for underlying coronary artery disease is warranted. NICE recommends CT coronary angiography as the first-line investigation for stable chest pain of suspected cardiac origin. Discharging with routine GP follow-up alone may delay diagnosis. An exercise treadmill test is no longer first-line. Treating for ACS is not indicated as troponins are negative and the acute event has been excluded. Further observation and repeat troponin at 6 hours is unnecessary when two serial troponins using a high-sensitivity assay at 0 and 3 hours are both normal.","Medium","No","2026-03-15"
"IHD_010","Cardiovascular","Ischaemic Heart Disease","SBA","A 65-year-old man with a history of anterior STEMI 3 months ago attends his cardiology follow-up. His echocardiogram shows a left ventricular ejection fraction (LVEF) of 35%. He is currently taking aspirin, ticagrelor, atorvastatin, bisoprolol, and ramipril. Which additional medication should be considered to improve his prognosis?","Digoxin","Eplerenone","Ivabradine","Diltiazem","Dapagliflozin","","","","B","This patient has heart failure with reduced ejection fraction (HFrEF) following MI (LVEF 35%). NICE guidelines recommend adding a mineralocorticoid receptor antagonist (MRA) such as eplerenone or spironolactone in patients with HFrEF who remain symptomatic despite an ACE inhibitor/ARB and beta-blocker. The EPHESUS trial specifically demonstrated mortality benefit of eplerenone in post-MI patients with LV dysfunction. Digoxin can improve symptoms in heart failure but does not improve mortality. Ivabradine may be considered if heart rate remains elevated despite maximum tolerated beta-blocker dose, but it is not the next priority. Diltiazem is contraindicated in systolic heart failure. Dapagliflozin (an SGLT2 inhibitor) has emerging evidence in HFrEF, but the established next step in post-MI HFrEF after ACE inhibitor and beta-blocker is an MRA.","Medium","No","2026-03-15"
